timestamp (date/time),btc,eth,sol,bnb,ada,xrp,dot
2024-11-21 13:15:01,97837.620000,3343.020000,256.740000,619.090000,0.795200,1.161100,5.802000
2024-11-21 13:15:06,97837.620000,3343.020000,256.740000,619.090000,0.795200,1.162100,5.802000
2024-11-21 13:15:11,97862.660000,3343.020000,256.980000,619.310000,0.795200,1.162100,5.802000
2024-11-21 13:15:16,98034.190000,3343.020000,256.980000,619.310000,0.795200,1.162800,5.802000
2024-11-21 13:15:21,98034.190000,3347.660000,256.980000,619.310000,0.795200,1.162800,5.802000
2024-11-21 13:15:26,98034.190000,3347.660000,256.980000,619.310000,0.795200,1.162800,5.802000
2024-11-21 13:15:31,98034.190000,3343.060000,256.980000,619.310000,0.795200,1.162800,5.802000
2024-11-21 13:15:37,98034.190000,3342.360000,256.980000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:15:42,97934.230000,3342.360000,256.980000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:15:47,97934.230000,3342.360000,256.980000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:15:52,97958.220000,3342.360000,256.980000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:15:57,97883.280000,3342.360000,256.980000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:16:02,97883.280000,3342.360000,256.980000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:16:07,97883.280000,3342.170000,257.170000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:16:12,97883.280000,3342.170000,257.170000,619.310000,0.795200,1.156700,5.802000
2024-11-21 13:16:17,98000.000000,3342.170000,257.170000,619.310000,0.795200,1.160200,5.802000
2024-11-21 13:16:22,98000.000000,3342.170000,257.170000,619.310000,0.795200,1.160200,5.802000
2024-11-21 13:16:27,98000.000000,3342.170000,257.170000,619.310000,0.795200,1.160200,5.802000
2024-11-21 13:16:33,98000.000000,3342.170000,257.170000,619.310000,0.795200,1.160200,5.802000
2024-11-21 13:16:38,98000.000000,3342.170000,257.170000,619.310000,0.795200,1.160200,5.802000
2024-11-21 13:16:43,98000.000000,3342.170000,257.170000,619.310000,0.795200,1.160200,5.802000
